url,text
https://www.manchin.senate.gov/newsroom/press-releases/manchin-asks-schumer-to-remove-permitting-language-from-continuing-resolution,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-29-million-for-18-west-virginia-public-safety-programs,
https://www.manchin.senate.gov/newsroom/press-releases/icymi-manchin-tuberville-request-input-from-athletic-collectives-for-bipartisan-name-image-and-likeness-legislation,
https://www.manchin.senate.gov/newsroom/press-releases/senators-designate-september-as-national-recovery-month,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-scott-lead-bipartisan-effort-to-designate-september-2022-as-national-childhood-cancer-awareness-month,"Washington,
DC – Today, U.S. Senators Joe Manchin (D-WV) and Tim Scott (R-SC) led a
bipartisan resolution to designate September 2022 as National Childhood Cancer
Awareness Month. This resolution recognizes the impact of cancer on the lives
of children, urges stakeholders at every level of government to increase public
awareness about the risks of cancer and reminds Americans of the bravery of
children who are diagnosed with and recover from cancer.“Far
too many children in West Virginia and across the country are bravely fighting
a cancer diagnosis or have lost loved ones to this devastating disease, and
childhood cancer is especially heartbreaking,” said Senator Manchin. “I
am proud to lead this bipartisan effort to ensure September is dedicated to
raising awareness for the terrible battle that many of our children face every
day. Gayle and I will continue to keep all cancer patients and their families
across West Virginia and the country in our prayers.”“I am proud to co-lead a resolution designating September as
National Childhood Cancer Awareness Month,"" said Senator Tim Scott. ""Childhood
should be filled with vibrant memories of family gatherings, sports, school,
and holiday parties. Children who battle cancer have these memories
overshadowed. That’s why my Senate colleagues and I will continue to support
these little heroes and their families who endure cancer battles every
day.""""Each year in the U.S. an estimated 16,000 children are
diagnosed with cancer, and unfortunately, cancer remains the most common cause
of death by disease for children in America. The Alliance for Childhood Cancer
thanks Senator Manchin for introducing a resolution to designate September,
2022 as Childhood Cancer Awareness Month. This resolution will raise awareness
and encourage research into cures for pediatric cancers,"" the Alliance
for Childhood Cancer said in a statement.Senators Manchin and Scott were joined by Senators Jack Reed
(D-RI), Lindsey Graham (R-SC), Bob Casey (D-PA), Shelley Moore Capito (R-WV)
and Josh Hawley (R-MO).
The
full text of the resolution is available here."
https://www.manchin.senate.gov/newsroom/press-releases/manchin-bipartisan-senators-introduce-geralds-law-act-to-expand-veteran-burial-benefits,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-funding-for-higher-education-support-services-in-west-virginia,"Washington, DC –
U.S. Senators Joe Manchin (D-WV) and Shelley Moore Capito (R-WV), both members
of the Senate Appropriations Committee, today announced $507,218 from the U.S.
Department of Education for West Virginia University (WVU) and West Virginia
State University (WVSU). This funding will support programs that provide
campus-based child care services, and strengthen undergraduate instruction in
international studies and foreign languages.“The Department of Education continues to be a great
partner for West Virginia colleges and universities, and I’m pleased with these
continued investments in our state. The funding announced today will expand
child care opportunities for parents in school through West Virginia University
and bolster West Virginia State University’s international studies and foreign
language program. I look forward to seeing the benefits of these important
initiatives, and I will continue to advocate for educational support programs
across the Mountain State,” Senator Manchin said.“Our higher education institutions in West Virginia provide
top-notch, accessible educational services for students in fields of study they
are passionate about. This funding will help continue this by expanding the
international studies department at WVSU, and supporting child care services on
campus at WVU. I will continue to advocate for the resources our colleges and
universities in West Virginia need to create opportunities for our students to
be successful and thrive,” Senator Capito said.Individual awards listed below:·       $395,725
– West Virginia University: Child Care Access Means Parents in School
Program
·       $111,493
– West Virginia State University: Undergraduate International Studies and
Foreign Language"
https://www.manchin.senate.gov/newsroom/press-releases/manchin-bipartisan-senators-urge-department-of-defense-to-address-harmful-pollutants-in-military-communities,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-collins-announce-22-senators-now-cosponsoring-bipartisan-electoral-count-act-reform,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-scott-hill-backed-bill-to-block-imf-financing-for-russia-belarus-passes-senate,"
"
https://www.manchin.senate.gov/newsroom/press-releases/manchin-announces-53-million-from-american-rescue-plan-for-mason-county-wastewater-infrastructure,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-barrasso-introduce-bipartisan-bill-to-reduce-wildfire-risk-improve-forest-health,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-10-democrat-10-republican-cosponsors-for-bipartisan-electoral-count-act-reform,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-83-million-for-west-virginia-water-infrastructure-improvements-through-bipartisan-infrastructure-law,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-speaks-with-more-than-900-west-virginia-students-at-39-schools-about-us-service-academies,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-232k-to-west-virginia-university-for-scientific-research-manufacturing-partnership,"
"
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-267k-for-cabell-huntington-hospital-neonatal-program,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-47-million-in-national-science-foundation-grants,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-300k-to-support-west-virginia-small-businesses,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-announces-11-million-from-the-american-rescue-plan-for-three-west-virginia-rural-healthcare-programs,"
"
https://www.manchin.senate.gov/newsroom/press-releases/manchin-announces-692k-for-west-virginia-healthcare-worker-student-loan-repayment,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-64-million-for-west-virginia-university-at-parkersburg-job-training-programs,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-announces-16-million-from-american-rescue-plan-for-broadband-expansion-in-randolph-tucker-counties,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-new-flight-services-at-clarksburg-lewisburg-airports,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-speaks-with-more-than-1200-west-virginia-students-at-37-schools-about-us-service-academies,
https://www.manchin.senate.gov/newsroom/press-releases/icymi-manchin-applauds-500-million-manufacturing-investment-by-berkshire-hathaway-in-ravenswood,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-26-million-in-epa-funding-through-bipartisan-infrastructure-law,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-57-million-for-west-virginia-school-based-mental-health-services,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-29-million-for-concord-university-gear-up-partnership,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-inflation-reduction-act-delivers-increased-energy-production,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-applauds-500-million-manufacturing-investment-by-berkshire-hathaway-in-ravenswood,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-50k-for-greenbrier-valley-economic-development-corporation,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-announces-22-million-from-the-american-rescue-plan-to-improve-west-virginias-unemployment-insurance-system,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-1-million-for-aviation-training-at-marshall-university,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-49-million-for-six-west-virginia-health-services-programs,"
"
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-27-million-in-epa-funding,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-35k-for-two-eastern-panhandle-credit-unions,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-statement-on-the-21st-anniversary-of-9/11,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-more-than-10-million-in-arc-grants,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-announces-750k-for-potomac-valley-hospital-drug-addiction-center,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-economic-development-planning-grants-for-west-virginia,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-9-million-for-five-west-virginia-public-safety-programs,"
"
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-792k-for-17-west-virginia-agriculture-projects,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-announces-491k-from-the-american-rescue-plan-to-monitor-improve-west-virginia-air-quality,
https://www.manchin.senate.gov/newsroom/press-releases/manchin-capito-announce-5-million-for-charleston-area-medical-center,
